stats_o/mean,train/episode,stats_g/mean,train/critic_loss,test/episode,stats_o/std,epoch,test/ag_g_dist,train/success_rate,test/mean_Q,stats_g/std,test/success_rate
0.18158609,16300.0,0.77168316,0.847414,3260.0,0.08860305,162,0.34754136,0.0,-30.0604,0.17080908,0.008333333333333333
0.1816309,16400.0,0.7719893,0.49479628,3280.0,0.08869958,163,0.3424518,0.0016666666666666668,-29.832071,0.17095369,0.0
0.18168253,16500.0,0.77223986,0.8741207,3300.0,0.08876752,164,0.36787155,0.0016666666666666668,-30.057447,0.17105776,0.008333333333333333
0.18173532,16600.0,0.7724988,0.68930787,3320.0,0.08884126,165,0.38426796,0.0,-30.501581,0.1711154,0.0
0.1817838,16700.0,0.7727297,0.750309,3340.0,0.08889446,166,0.33708,0.0,-28.406816,0.17118198,0.008333333333333333
0.18182217,16800.0,0.7729154,0.6086915,3360.0,0.08894933,167,0.40115872,0.0016666666666666668,-32.65377,0.17133172,0.0
0.18187638,16900.0,0.77310985,0.4967172,3380.0,0.08899233,168,0.38160264,0.0,-31.494781,0.17145188,0.0
0.18191923,17000.0,0.77329445,1.6891766,3400.0,0.08900398,169,0.400287,0.0,-32.18487,0.17151994,0.0
0.18196829,17100.0,0.7734716,0.54866713,3420.0,0.0890115,170,0.37769058,0.0,-31.147491,0.17159683,0.0
0.18199988,17200.0,0.7736125,0.9455586,3440.0,0.08897918,171,0.375488,0.0,-31.474655,0.17158134,0.0
0.18203236,17300.0,0.77374554,0.48350158,3460.0,0.088993885,172,0.3996922,0.0033333333333333335,-31.750315,0.17162521,0.0
0.18207087,17400.0,0.7738998,0.87167764,3480.0,0.08899634,173,0.3883432,0.0033333333333333335,-32.332825,0.1716847,0.0
0.1821001,17500.0,0.77402145,0.49605736,3500.0,0.08900628,174,0.34861457,0.0,-30.571028,0.17179252,0.0
0.18213844,17600.0,0.77420026,0.6070049,3520.0,0.089014776,175,0.36787197,0.0016666666666666668,-31.144865,0.17184472,0.0
0.18217337,17700.0,0.77436143,0.6490449,3540.0,0.089027055,176,0.3542272,0.0016666666666666668,-30.771162,0.17182983,0.008333333333333333
0.1822112,17800.0,0.77452224,0.40514207,3560.0,0.08905572,177,0.356348,0.0,-30.054571,0.17184122,0.0
0.18225159,17900.0,0.77469474,0.76623607,3580.0,0.08910975,178,0.3434596,0.0033333333333333335,-29.182861,0.1718417,0.008333333333333333
0.18229847,18000.0,0.7748809,0.5622911,3600.0,0.089190744,179,0.36051324,0.0,-29.821192,0.17191045,0.0
0.18232994,18100.0,0.77502465,0.6171581,3620.0,0.08928689,180,0.34812686,0.0,-30.05377,0.17201865,0.0
0.18237154,18200.0,0.77517074,0.8157874,3640.0,0.089408785,181,0.38150588,0.0016666666666666668,-28.361542,0.1721164,0.0
0.18242319,18300.0,0.7753661,0.5678095,3660.0,0.08952739,182,0.3038136,0.0033333333333333335,-26.777262,0.17229472,0.0
0.1824826,18400.0,0.77559346,0.5063469,3680.0,0.08966166,183,0.36294365,0.005,-30.057167,0.17243378,0.0
0.18254143,18500.0,0.77577114,1.1998965,3700.0,0.089722544,184,0.3865408,0.0016666666666666668,-30.803698,0.17252934,0.008333333333333333
0.18259032,18600.0,0.77599484,0.6389938,3720.0,0.0898239,185,0.3530263,0.0016666666666666668,-28.53707,0.17266195,0.0
0.18264766,18700.0,0.7762189,0.43050814,3740.0,0.08990312,186,0.34350672,0.0016666666666666668,-28.481928,0.17275679,0.0
0.18269257,18800.0,0.7763946,0.4649497,3760.0,0.089985006,187,0.3696685,0.0016666666666666668,-29.327879,0.17288114,0.0
0.18274952,18900.0,0.7766375,0.9148993,3780.0,0.09007516,188,0.3648369,0.0016666666666666668,-30.48291,0.1730191,0.0
0.18279444,19000.0,0.77681965,0.62909406,3800.0,0.090128966,189,0.3627671,0.0,-29.891403,0.17309058,0.0
0.1828296,19100.0,0.7770125,0.6699813,3820.0,0.090178825,190,0.38064066,0.0,-30.423882,0.17317945,0.0
0.18285972,19200.0,0.7771614,1.161126,3840.0,0.0902377,191,0.36354676,0.0016666666666666668,-29.794342,0.17323552,0.0
0.18288891,19300.0,0.77731067,1.3096024,3860.0,0.09031188,192,0.350494,0.0016666666666666668,-29.942322,0.17330606,0.008333333333333333
0.18292093,19400.0,0.7774535,0.88089067,3880.0,0.090364106,193,0.36453304,0.0,-30.043924,0.17333889,0.025000000000000005
0.18295504,19500.0,0.7775906,0.58774173,3900.0,0.09041003,194,0.38407096,0.0033333333333333335,-30.398779,0.17335804,0.0
0.18299384,19600.0,0.777771,0.762734,3920.0,0.09042036,195,0.3311768,0.0,-29.505503,0.17338733,0.0
0.18302381,19700.0,0.7778978,0.39316657,3940.0,0.090444624,196,0.36796,0.0016666666666666668,-31.058409,0.17340846,0.0
0.18305887,19800.0,0.77804065,1.2858644,3960.0,0.09048463,197,0.37009677,0.0,-31.749159,0.17346986,0.0
0.18309782,19900.0,0.7782099,0.85302216,3980.0,0.09048233,198,0.34627223,0.0,-30.512774,0.17346114,0.0
0.18312044,20000.0,0.7783377,0.9782006,4000.0,0.090495445,199,0.3679695,0.005,-32.580338,0.17348509,0.016666666666666666
