train/reward_compute_count,train/critic_loss,test/success_rate,test/mean_Q,stats_o/mean,train/success_rate,stats_g/mean,stats_g/std,test/ag_g_dist,test/reward_compute_count,epoch,stats_o/std,train/episode,test/episode
610000.0,0.2650374,0.125,-24.009485,0.21014614,0.016666666666666666,0.37255,0.17247343,0.73472387,122000.0,121,0.8971327,12200.0,2440.0
615000.0,0.20219307,0.19166666666666665,-22.68393,0.21018536,0.01,0.37253478,0.17251943,0.66600436,123000.0,122,0.89732677,12300.0,2460.0
620000.0,0.20593138,0.08333333333333333,-24.209955,0.21015257,0.016666666666666666,0.37255165,0.17256524,0.72579,124000.0,123,0.8974897,12400.0,2480.0
625000.0,0.33672705,0.15833333333333333,-23.957312,0.21012396,0.024999999999999998,0.37257448,0.17259489,0.75046617,125000.0,124,0.89765435,12500.0,2500.0
630000.0,0.27986,0.17500000000000002,-22.75448,0.21011966,0.023333333333333334,0.37262467,0.17258032,0.6871312,126000.0,125,0.8978464,12600.0,2520.0
635000.0,0.27599743,0.14166666666666666,-23.854715,0.21016236,0.023333333333333334,0.37263104,0.17260647,0.72280353,127000.0,126,0.89801854,12700.0,2540.0
640000.0,0.22242577,0.15,-25.259802,0.21015276,0.015,0.37265524,0.17263688,0.74910396,128000.0,127,0.89817643,12800.0,2560.0
645000.0,0.22123761,0.14166666666666666,-23.311691,0.21011119,0.016666666666666666,0.37267724,0.17268477,0.70776725,129000.0,128,0.8983113,12900.0,2580.0
650000.0,0.29250622,0.20833333333333334,-21.006882,0.21014641,0.028333333333333335,0.37271786,0.17270501,0.6323502,130000.0,129,0.8985558,13000.0,2600.0
655000.0,0.19472735,0.15,-25.238485,0.21015604,0.015,0.3727049,0.17274757,0.781125,131000.0,130,0.8987711,13100.0,2620.0
660000.0,0.20186472,0.10833333333333332,-24.395529,0.21009184,0.03,0.3727108,0.17279573,0.7606332,132000.0,131,0.8989522,13200.0,2640.0
665000.0,0.24631254,0.16666666666666666,-24.5548,0.21010284,0.015,0.37270513,0.1728624,0.7518527,133000.0,132,0.89913076,13300.0,2660.0
670000.0,0.2195157,0.13333333333333333,-24.604517,0.21011312,0.04,0.3727049,0.17293267,0.7022133,134000.0,133,0.8993294,13400.0,2680.0
675000.0,0.18914187,0.15,-22.867998,0.21014293,0.03,0.3727363,0.17296018,0.64911085,135000.0,134,0.8994867,13500.0,2700.0
680000.0,0.20637335,0.19999999999999996,-20.686144,0.21016379,0.03333333333333333,0.3727884,0.17298375,0.5976,136000.0,135,0.89969724,13600.0,2720.0
685000.0,0.3616185,0.11666666666666665,-24.668295,0.21019681,0.02,0.37279,0.1730334,0.72181416,137000.0,136,0.89991623,13700.0,2740.0
690000.0,0.19144301,0.11666666666666665,-24.200624,0.21022122,0.02666666666666667,0.37280282,0.17309149,0.72962666,138000.0,137,0.90014917,13800.0,2760.0
