addnl_loss_term,confname,distance_threshold,env,gitrev,goal_noise,intermediate_sampling,loss_term,loss_term_weights,loss_term_weights_json,n_cycles,num_cpu,recompute_rewards,replay_strategy,reward_type,dir,epoch_test/success_rate,epoch_test/ag_g_dist,reward_computes_test/success_rate,reward_computes_test/ag_g_dist
NULL,NULL,0.05,FetchPush-v1,3f1eafe,NULL,NULL,qlst,NULL,NULL,50,NULL,NULL,none,NULL,3f1eafe-FetchPush-v1-qlst-none,0.012840136054421768,0,0.012840136054421775,0
NULL,NULL,0.05,FetchPush-v1,3f1eafe,NULL,NULL,stfw,NULL,NULL,50,NULL,NULL,future,NULL,3f1eafe-FetchPush-v1-stfw-future,0.014080459770114944,0,0.014080459770114944,0
NULL,NULL,0.05,FetchPush-v1,3f1eafe,NULL,NULL,stlo,NULL,NULL,50,NULL,NULL,future,NULL,3f1eafe-FetchPush-v1-stlo-future,0.012068965517241383,0,0.01206896551724138,0
NULL,NULL,0.05,FetchPush-v1,3f1eafe,NULL,NULL,stup,NULL,NULL,50,NULL,NULL,future,NULL,3f1eafe-FetchPush-v1-stup-future,0.012787356321839081,0,0.012787356321839083,0
stepfwrl,NULL,0.05,FetchReach-v1,4223f32,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,future,NULL,4223f32-FetchSlide-v1-stepfwrl-future,0.0022058823529411764,0,0.0022058823529411773,0
NULL,NULL,0.05,FetchReachPR-v1,4791c2d,NULL,NULL,fwrl,NULL,NULL,50,NULL,NULL,future,,4791c2d-FetchReachPR-v1-fwrl-future,0.034,0.0024881146000000007,0.034,0.0024881146000000007
NULL,NULL,0.05,FetchPushCSL-v1,483d132,NULL,uniform,dqst,[],[],50,NULL,True,future,NULL,483d132-her_fwrl_path_reward-FetchPushCSL-v1-dqst,0.012009803921568632,0.004891348235294119,0.012009803921568633,0.004891348235294119
NULL,NULL,0.01,FetchPushPR-v1,605e7e1,NULL,uniform,ddpg,[],[],50,NULL,True,future,NULL,605e7e1-path_reward_low_thresh-FetchPushPR-v1-ddpg,0.0022988505747126436,0.004312543620689656,0.0022988505747126436,0.004312543620689655
NULL,NULL,0.01,FetchPushPR-v1,605e7e1,NULL,uniform,dqst,[],[],50,NULL,True,future,NULL,605e7e1-path_reward_low_thresh-FetchPushPR-v1-dqst,0.019683908045977003,0.0039431613448275855,0.019683908045977003,0.0039431613448275855
NULL,NULL,0.01,FetchPush-v1,605e7e1,NULL,uniform,ddpg,[],[],50,NULL,True,future,NULL,605e7e1-path_reward_low_thresh-FetchPush-v1-ddpg,0.021264367816091964,0.0037349382758620703,0.02126436781609196,0.003734938275862069
NULL,NULL,0.01,FetchPush-v1,605e7e1,NULL,uniform,dqst,[],[],50,NULL,True,future,NULL,605e7e1-path_reward_low_thresh-FetchPush-v1-dqst,0.022557471264367822,0.003767697724137931,0.022557471264367825,0.003767697724137931
NULL,NULL,0.01,FetchReachPR-v1,605e7e1,NULL,uniform,ddpg,[],[],10,NULL,True,future,NULL,605e7e1-path_reward_low_thresh-FetchReachPR-v1-ddpg,0.0,0.0031401705555555593,0.0,0.0031401705555555593
NULL,NULL,0.01,FetchReachPR-v1,605e7e1,NULL,uniform,dqst,[],[],10,NULL,True,future,NULL,605e7e1-path_reward_low_thresh-FetchReachPR-v1-dqst,0.053703703703703684,0.009276189722222224,0.053703703703703684,0.009276189722222224
NULL,NULL,0.01,FetchReach-v1,605e7e1,NULL,uniform,ddpg,[],[],10,NULL,True,future,NULL,605e7e1-path_reward_low_thresh-FetchReach-v1-ddpg,0.04166666666666668,0.0074022716111111116,0.04166666666666667,0.0074022716111111116
NULL,NULL,0.01,FetchReach-v1,605e7e1,NULL,uniform,dqst,[],[],10,NULL,True,future,NULL,605e7e1-path_reward_low_thresh-FetchReach-v1-dqst,0.05972222222222223,0.0098482985,0.05972222222222223,0.009848298500000002
NULL,NULL,0.01,FetchPickAndPlacePR-v1,6efc1de,zero,uniform,dqst,[],[],50,NULL,True,future,NULL,6efc1de-path_reward_low_thresh_chosen-FetchPickAndPlacePR-v1-dqst,0.016876046901172517,0.002966500771356784,0.016876046901172517,0.002966500771356784
NULL,NULL,0.01,FetchPickAndPlace-v1,6efc1de,zero,uniform,ddpg,[],[],50,NULL,True,future,NULL,6efc1de-path_reward_low_thresh_chosen-FetchPickAndPlace-v1-ddpg,0.021759259259259256,0.006934533252525252,0.02175925925925927,0.006934533252525255
NULL,NULL,0.01,FetchPickAndPlace-v1,6efc1de,zero,uniform,dqst,[],[],50,NULL,True,future,NULL,6efc1de-path_reward_low_thresh_chosen-FetchPickAndPlace-v1-dqst,0.020707070707070705,0.003239166606060605,0.020707070707070716,0.0032391666060606057
NULL,NULL,0.01,FetchPickAndPlace-v1,6efc1de,zero,uniform,fwrl,[],[],50,NULL,True,future,NULL,6efc1de-path_reward_low_thresh_chosen-FetchPickAndPlace-v1-fwrl,0.02327441077441077,0.005956413111111113,0.023274410774410784,0.005956413111111112
NULL,NULL,0.01,FetchPushPR-v1,6efc1de,zero,uniform,dqst,[],[],50,NULL,True,future,NULL,6efc1de-path_reward_low_thresh_chosen-FetchPushPR-v1-dqst,0.01758474576271186,0.002503146669491524,0.017584745762711858,0.002503146669491524
NULL,NULL,0.01,FetchPush-v1,6efc1de,zero,uniform,ddpg,[],[],50,NULL,True,future,NULL,6efc1de-path_reward_low_thresh_chosen-FetchPush-v1-ddpg,0.015607344632768355,0.0026750262627118653,0.015607344632768354,0.002675026262711866
NULL,NULL,0.01,FetchPush-v1,6efc1de,zero,uniform,dqst,[],[],50,NULL,True,future,NULL,6efc1de-path_reward_low_thresh_chosen-FetchPush-v1-dqst,0.01709039548022601,0.002545303,0.017090395480226016,0.0025453029999999996
NULL,NULL,0.01,FetchPush-v1,6efc1de,zero,uniform,fwrl,[],[],50,NULL,True,future,NULL,6efc1de-path_reward_low_thresh_chosen-FetchPush-v1-fwrl,0.012994350282485875,0.002354897516949152,0.012994350282485875,0.0023548975169491526
NULL,NULL,0.01,FetchReachPR-v1,6efc1de,zero,uniform,dqst,[],[],10,NULL,True,future,NULL,6efc1de-path_reward_low_thresh_chosen-FetchReachPR-v1-dqst,0.01871468926553673,0.0031658207711864404,0.01871468926553673,0.0031658207711864404
NULL,NULL,0.01,FetchReach-v1,6efc1de,zero,uniform,ddpg,[],[],10,NULL,True,future,NULL,6efc1de-path_reward_low_thresh_chosen-FetchReach-v1-ddpg,0.017443502824858754,0.0028265304491525423,0.01744350282485876,0.002826530449152543
NULL,NULL,0.01,FetchReach-v1,6efc1de,zero,uniform,dqst,[],[],10,NULL,True,future,NULL,6efc1de-path_reward_low_thresh_chosen-FetchReach-v1-dqst,0.019138418079096053,0.00305965156779661,0.01913841807909605,0.0030596515677966105
NULL,NULL,0.01,FetchReach-v1,6efc1de,zero,uniform,fwrl,[],[],10,NULL,True,future,NULL,6efc1de-path_reward_low_thresh_chosen-FetchReach-v1-fwrl,0.01913841807909606,0.002942901542372882,0.019138418079096057,0.0029429015423728814
